,Open,High,Low,Close,RSI_14,Return_std_20,ATR_pct
2020-08-25,38948.4609375,39008.890625,38679.671875,38843.87890625,64.18457173089226,0.00920940803857828,0.012601279105664212
2020-08-26,38930.1796875,39111.55078125,38765.08984375,39073.921875,66.41367116165547,0.008871071758584004,0.012265641801309872
2020-08-27,39293.53125,39326.98046875,39046.94140625,39113.46875,66.79626164771088,0.008545968983393982,0.01188941294931541
2020-08-28,39264.48046875,39579.578125,39235.03125,39467.30859375,70.08029926022215,0.008598264579462334,0.011784761998597461
2020-08-31,39888.1484375,40010.171875,38395.890625,38628.2890625,55.949483324749096,0.00906858147200187,0.014165688145837694
2020-09-01,38754.0,39226.8203125,38542.109375,38900.80078125,58.85164476582572,0.008141820093792478,0.0143189538425814
2020-09-02,38892.640625,39141.83984375,38736.21875,39086.03125,60.74477278255033,0.008153340099713007,0.013974420875361142
2020-09-03,39165.80078125,39236.359375,38943.4296875,38990.94140625,59.238045627026644,0.007995852314640974,0.013544519910628135
2020-09-04,38325.0,38729.66015625,38249.76953125,38357.1796875,50.285526496437924,0.008918151460920709,0.014165067299592774
2020-09-07,38284.78125,38519.921875,38060.73828125,38417.23046875,51.04054646854342,0.008889218340168306,0.013986469675961111
2020-09-08,38498.0703125,38746.48046875,38275.44921875,38365.3515625,50.329407873590675,0.008797417227148108,0.013881963660186302
2020-09-09,37988.55859375,38252.671875,37935.26171875,38193.921875,47.951885941821786,0.008851432863116524,0.013752586973746178
2020-09-10,38516.87890625,38878.25,38367.0703125,38840.3203125,56.32900593807923,0.009623170803049495,0.01381623177457498
2020-09-11,38865.171875,38978.51953125,38711.80078125,38854.55078125,56.49501521244493,0.00919764356445371,0.013314983855794767
2020-09-14,39073.51171875,39230.16015625,38573.171875,38756.62890625,54.947162121047434,0.009200634790501618,0.01360598321681835
2020-09-15,38904.671875,39102.25,38753.6796875,39044.3515625,58.541449109425564,0.008931258606049099,0.013178706807444457
2020-09-16,39161.01171875,39359.51171875,39037.9609375,39302.8515625,61.51231823870358,0.009024392117526073,0.012741266682062578
2020-09-17,39120.640625,39234.80859375,38926.33984375,38979.8515625,56.10254996708341,0.008903865838003726,0.012619151604353422
2020-09-18,39200.421875,39200.421875,38635.73046875,38845.8203125,53.9810354521198,0.008886973980177687,0.012796552192444067
2020-09-21,38812.69140625,38990.76171875,37938.53125,38034.140625,43.30194818504193,0.009849647226060064,0.014112196714023638
2020-09-22,38200.7109375,38209.96875,37531.140625,37734.078125,40.14049080147382,0.009953873185878228,0.014493372478417995
2020-09-23,38124.94140625,38140.0703125,37313.08984375,37668.421875,39.461594320402554,0.009802231765744558,0.015049747082254051
2020-09-24,37282.1796875,37304.26171875,36495.98046875,36553.6015625,30.14020637213777,0.011619258096004625,0.016692012218838283
2020-09-25,36991.890625,37471.171875,36730.51953125,37388.66015625,41.321276543383,0.01272574192514603,0.016906503978414797
2020-09-28,37756.25,38035.87109375,37544.05078125,37981.62890625,47.719971809081734,0.012554999846185737,0.01667095590421724
2020-09-29,38176.859375,38235.94140625,37831.3515625,37973.21875,47.64062213701516,0.012419615351636087,0.016244645411941386
2020-09-30,38068.890625,38236.33984375,37828.109375,38067.9296875,48.67564329289339,0.01237276779083579,0.015812765864676823
2020-10-01,38410.19921875,38738.890625,38410.19921875,38697.05078125,55.034165619162046,0.012984460174056972,0.01568305434556938
2020-10-05,38956.78125,39263.8515625,38819.890625,38973.69921875,57.526083102074594,0.012514559233480195,0.01549826147626487
2020-10-06,39336.33984375,39623.76171875,39191.1015625,39574.5703125,62.39998508686807,0.012928892755228896,0.015346041641539727
2020-10-07,39633.19140625,39968.0390625,39450.8203125,39878.94921875,64.61507174493883,0.012981836268483966,0.01506754094274745
2020-10-08,40204.3203125,40468.87890625,40062.23046875,40182.671875,66.72180607790845,0.012948437621777109,0.014934191063091008
2020-10-09,40226.25,40585.359375,40066.5390625,40509.48828125,68.8695763576929,0.012586215167765985,0.01467039796493914
2020-10-12,40716.94921875,40905.48828125,40387.3984375,40593.80078125,69.41793871517449,0.0125795955845046,0.01450584602440696
2020-10-13,40592.5390625,40786.8203125,40461.96875,40625.51171875,69.63459113059011,0.012536064070225597,0.014030360537912324
2020-10-14,40623.19140625,40880.25,40279.55078125,40794.73828125,70.82251542313958,0.012488330430346736,0.014025927730099986
2020-10-15,41048.05078125,41048.05078125,39667.46875,39728.41015625,55.965352425222825,0.013976607924107437,0.015855826128096828
2020-10-16,39936.609375,40125.7109375,39699.421875,39982.98046875,58.218797861475444,0.013874974295006611,0.015391079066067353
2020-10-19,40318.5703125,40519.48046875,40211.21875,40431.6015625,61.91738536113913,0.01399746665623923,0.015080947024630201
2020-10-20,40420.2890625,40732.01171875,40305.58984375,40544.37109375,62.808623949317685,0.012896990798245772,0.014716030480691401
